what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1266386388091
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386423484
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386423593
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386423868
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386429334
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386455415
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386467684
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1266386469106
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1266386483752
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1266386483961
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1266386484086
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386505265
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386510143
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1266386510171
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1266386516598
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1266386516720
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386524127
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386554567
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386560481
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1266386566157
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1266386567531
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1266386577956
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1266386578306
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1266386578507
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1266386596691
